API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, Mcf","Water Produced, bbl","Oil Produced, bbl",Reporting Year,New Georeferenced Column
31003055030000,Allegany,Richardson Petroleum Corp.,05503,00,00,OD,Beech Hill-Independence,AC,Quintette-Bledsoe 36,Independence,Fulmer Valley,12,56,1,2,2018,"Independence, NY (42.088045, -77.781386)"
31003055050000,Allegany,Estate of James Robert Wells,05505,00,00,OW,Richburg,AC,7-79,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003055180000,Allegany,Estate of James Robert Wells,05518,00,00,OW,Richburg,AC,13-79,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003055390000,Allegany,"Saint John Exploration & Production, Inc.",05539,00,00,OD,Richburg,IN,Trio 501,Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003055480000,Allegany,Richardson Petroleum Corp.,05548,00,00,OD,Beech Hill-Independence,AC,Austin 19,Independence,Fulmer Valley,12,160,1,4,2018,"Independence, NY (42.088045, -77.781386)"
31003055540000,Allegany,J. J. Bucher Producing Corporation,05554,00,00,OD,Richburg,IN,Wheeler b-1,Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003060540000,Allegany,Klein Oil & Logging,06054,00,00,OD,Beech Hill-Independence,AC,Austin 40-4,Independence,Fulmer Valley,12,1,10,66,2018,"Independence, NY (42.088045, -77.781386)"
31003066480000,Allegany,Richardson Petroleum Corp.,06648,00,00,OD,Beech Hill-Independence,AC,Stillman 05,Independence,Fulmer Valley,12,236,3,23,2018,"Independence, NY (42.088045, -77.781386)"
31003066580000,Allegany,"Burdick, Jeffery H",06658,00,00,OD,Richburg,AC,Foreman 111,Bolivar,Waugh & Porter,4,0,2,7,2018,"Bolivar, NY (42.066701, -78.167667)"
31003067150000,Allegany,Klein Oil & Logging,06715,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 23,Independence,Fulmer Valley,6,1,2,6,2018,"Independence, NY (42.088045, -77.781386)"
