New Georeferenced Column
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Scio, NY (42.171429, -77.97865)
Wellsville, NY (42.120693, -77.946058)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Willing, NY (42.085346, -77.922864)
Andover, NY (42.156405, -77.795231)
Scio, NY (42.171429, -77.97865)
Scio, NY (42.171429, -77.97865)
Wirt, NY (42.137408, -78.150594)
Wirt, NY (42.137408, -78.150594)
Amity, NY (41.268101, -74.455299)
Amity, NY (41.268101, -74.455299)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Willing, NY (42.085346, -77.922864)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Wellsville, NY (42.120693, -77.946058)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Wellsville, NY (42.120693, -77.946058)
Wirt, NY (42.137408, -78.150594)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Amity, NY (41.268101, -74.455299)
New Hudson, NY (42.275353, -78.226359)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Wellsville, NY (42.120693, -77.946058)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Wellsville, NY (42.120693, -77.946058)
Andover, NY (42.156405, -77.795231)
Wellsville, NY (42.120693, -77.946058)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
